vehicle_id,speed,travel_time,waiting_time,distance
diag.376,6.9886,112.0000,0.0000,782.7200
anti.399,7.5262,104.0000,0.0000,782.7200
anti.400,7.5992,103.0000,0.0000,782.7200
diag.377,7.0515,111.0000,0.0000,782.7200
anti.401,7.5992,103.0000,0.0000,782.7200
anti.402,7.5992,103.0000,0.0000,782.7200
diag.378,6.9267,113.0000,0.0000,782.7200
diag.379,6.9267,113.0000,0.0000,782.7200
anti.403,7.5262,104.0000,0.0000,782.7200
diag.380,6.9267,113.0000,0.0000,782.7200
anti.404,7.3842,106.0000,0.0000,782.7200
anti.405,7.3151,107.0000,0.0000,782.7200
diag.381,6.8063,115.0000,0.0000,782.7200
diag.382,6.8063,115.0000,0.0000,782.7200
anti.406,7.2474,108.0000,0.0000,782.7200
diag.383,6.8063,115.0000,0.0000,782.7200
anti.407,7.3151,107.0000,0.0000,782.7200
diag.384,6.9267,113.0000,0.0000,782.7200
diag.385,6.9267,113.0000,0.0000,782.7200
anti.408,7.1809,109.0000,1.0000,782.7200
diag.386,7.0515,111.0000,0.0000,782.7200
anti.409,7.4545,105.0000,0.0000,782.7200
diag.387,7.1156,110.0000,0.0000,782.7200
anti.410,7.4545,105.0000,0.0000,782.7200
anti.411,7.5992,103.0000,0.0000,782.7200
anti.412,7.4545,105.0000,0.0000,782.7200
diag.388,6.8063,115.0000,0.0000,782.7200
anti.413,7.3842,106.0000,0.0000,782.7200
diag.389,6.9267,113.0000,0.0000,782.7200
diag.390,6.9267,113.0000,0.0000,782.7200
anti.414,7.5262,104.0000,0.0000,782.7200
diag.391,6.9886,112.0000,0.0000,782.7200
anti.415,7.4545,105.0000,0.0000,782.7200
diag.392,6.9267,113.0000,0.0000,782.7200
anti.416,7.4545,105.0000,0.0000,782.7200
diag.393,6.9267,113.0000,0.0000,782.7200
diag.394,7.0515,111.0000,0.0000,782.7200
anti.417,7.3151,107.0000,0.0000,782.7200
diag.395,6.9886,112.0000,0.0000,782.7200
anti.418,7.3151,107.0000,0.0000,782.7200
diag.396,6.9886,112.0000,0.0000,782.7200
anti.419,7.3151,107.0000,0.0000,782.7200
anti.420,7.3151,107.0000,0.0000,782.7200
anti.421,7.3842,106.0000,0.0000,782.7200
diag.397,6.8660,114.0000,0.0000,782.7200
cross.15,0.3323,1145.0000,995.0000,380.5000
anti.422,7.5992,103.0000,0.0000,782.7200
diag.398,6.9886,112.0000,0.0000,782.7200
anti.423,7.5992,103.0000,0.0000,782.7200
diag.399,6.9886,112.0000,0.0000,782.7200
diag.400,6.9886,112.0000,0.0000,782.7200
diag.401,6.9886,112.0000,0.0000,782.7200
anti.424,7.1156,110.0000,0.0000,782.7200
diag.402,6.9267,113.0000,0.0000,782.7200
anti.425,7.1809,109.0000,0.0000,782.7200
